province	srok
preahvihear	ស្រុកជ័យសែន
preahvihear	ស្រុកឆែប
preahvihear	ស្រុកជាំក្សាន្ដ
preahvihear	ស្រុកគូលែន
preahvihear	ស្រុករវៀង
preahvihear	ស្រុកសង្គមថ្មី
preahvihear	ស្រុកត្បែងមានជ័យ
preahvihear	ក្រុងព្រះវិហារ
ratanakiri	ស្រុកអណ្ដូងមាស
ratanakiri	ក្រុងបានលុង
ratanakiri	ស្រុកបរកែវ
ratanakiri	ស្រុកកូនមុំ
ratanakiri	ស្រុកលំផាត់
ratanakiri	ស្រុកអូរជុំ
ratanakiri	ស្រុកអូរយ៉ាដាវ
ratanakiri	ស្រុកតាវែង
ratanakiri	ស្រុកវើនសៃ
banteaymeanchey	ស្រុកមង្គលបូរី
banteaymeanchey	ស្រុកភ្នំស្រុក
banteaymeanchey	ស្រុកព្រះនេត្រព្រះ
banteaymeanchey	ស្រុកអូរជ្រៅ
banteaymeanchey	ក្រុងសិរីសោភ័ណ
banteaymeanchey	ស្រុកថ្មពួក
banteaymeanchey	ស្រុកស្វាយចេក
banteaymeanchey	ស្រុកម៉ាឡៃ
banteaymeanchey	ក្រុងប៉ោយប៉ែត
pailin	ក្រុងប៉ៃលិន
pailin	ស្រុកសាលាក្រៅ
siemreap	ស្រុកអង្គរជុំ
siemreap	ស្រុកអង្គរធំ
siemreap	ស្រុកបន្ទាយស្រី
siemreap	ស្រុកជីក្រែង
siemreap	ស្រុកក្រឡាញ់
siemreap	ស្រុកពួក
siemreap	ស្រុកប្រាសាទបាគង
siemreap	ស្រុកសៀមរាប
siemreap	ស្រុកសូទ្រនិគម
siemreap	ស្រុកស្រីស្នំ
siemreap	ស្រុកស្វាយលើ
siemreap	ស្រុកវ៉ារិន
kohkong	ស្រុកបុទុមសាគរ
kohkong	ស្រុកគិរីសាគរ
kohkong	ស្រុកកោះកុង
kohkong	ក្រុងខេមរភូមិន្ទ
kohkong	ស្រុកមណ្ឌលសីមា
kohkong	ស្រុកស្រែ អំបិល
kohkong	ស្រុកថ្មបាំង
kandal	ស្រុកកណ្ដាលស្ទឹង
kandal	ស្រុកកៀនស្វាយ
kandal	ស្រុកខ្សាច់កណ្ដាល
kandal	ស្រុកកោះធំ
kandal	ស្រុកលើកដែក
kandal	ស្រុកល្វាឯម
kandal	ស្រុកមុខកំពូល
kandal	ស្រុកអង្គស្នួល
kandal	ស្រុកពញាឮ
kandal	ស្រុកស្អាង
kandal	ក្រុងតាខ្មៅ
takeo	ស្រុកអង្គរបូរី
takeo	ស្រុកបាទី
takeo	ស្រុកបូរីជលសារ
takeo	ស្រុកគីរីវង់
takeo	ស្រុកកោះអណ្ដែត
takeo	ស្រុកព្រៃកប្បាស
takeo	ស្រុកសំរោង
takeo	ក្រុងដូនកែវ
takeo	ស្រុកត្រាំកក់
takeo	ស្រុកទ្រាំង
kampot	ស្រុកអង្គរជ័យ
kampot	ស្រុកបន្ទាយមាស
kampot	ស្រុកឈូក
kampot	ស្រុកជុំគិរី
kampot	ស្រុកដងទង់
kampot	ស្រុកកំពង់ត្រាច
kampot	ស្រុកទឹកឈូ
kampot	ក្រុងកំពត
kampot	ស្រុកបូកគោ
preahsihanouk	ក្រុងព្រះសីហនុ
preahsihanouk	ស្រុកព្រៃនប់
preahsihanouk	ស្រុកស្ទឹងហាវ
preahsihanouk	ស្រុកកំពង់សីលា
preahsihanouk	ក្រុងកោះរ៉ុង
kampongspeu	ស្រុកបរសេដ្ឋ
kampongspeu	ក្រុងច្បារមន
kampongspeu	ស្រុកគងពិសី
kampongspeu	ស្រុកឱរ៉ាល់
kampongspeu	ស្រុកឧដុង្គ
kampongspeu	ស្រុកភ្នំស្រួច
kampongspeu	ស្រុកសំរោងទង
kampongspeu	ស្រុកថ្ពង
keb	ស្រុកដំណាក់ចង្អើរ
keb	ក្រុងកែប
kampongchhnang	ស្រុកបរិបូណ៌
kampongchhnang	ស្រុកជលគីរី
kampongchhnang	ក្រុងកំពង់ឆ្នាំង
kampongchhnang	ស្រុកកំពង់លែង
kampongchhnang	ស្រុកកំពង់ត្រឡាច
kampongchhnang	ស្រុករលាប្អៀរ
kampongchhnang	ស្រុកទឹកផុស
kratie	ស្រុកឆ្លូង
kratie	ក្រុងក្រចេះ
kratie	ស្រុកព្រែកប្រសព្វ
kratie	ស្រុកសំបូរ
kratie	ស្រុកស្នួល
kratie	ស្រុកចិត្របុរី
phnompenh	ខណ្ឌចំការមន
phnompenh	ខណ្ឌដូនពេញ
phnompenh	ខណ្ឌ៧មករា
phnompenh	ខណ្ឌទួលគោក
phnompenh	ខណ្ឌដង្កោ
phnompenh	ខណ្ឌមានជ័យ
phnompenh	ខណ្ឌឫស្សីកែវ
phnompenh	ខណ្ឌសែនសុខ
phnompenh	ខណ្ឌពោធិ៍សែនជ័យ
phnompenh	ខណ្ឌជ្រោយចង្វារ
phnompenh	ខណ្ឌព្រែកព្នៅ
phnompenh	ខណ្ឌច្បារអំពៅ
phnompenh	ខណ្ឌបឹងកេងកង
phnompenh	ខណ្ឌកំបូល
mundulkiri	ស្រុកកែវសីមា
mundulkiri	ស្រុកកោះញែក
mundulkiri	ស្រុកអូររាំង
mundulkiri	ស្រុកពេជ្រាដា
mundulkiri	ក្រុងសែនមនោរម្យ
kampongthom	ស្រុកបារាយណ៍
kampongthom	ស្រុកកំពង់ស្វាយ
kampongthom	ក្រុងស្ទឹងសែន
kampongthom	ស្រុកប្រាសាទបល្ល័ង្គ
kampongthom	ស្រុកប្រាសាទសំបូរ
kampongthom	ស្រុកសណ្ដាន់
kampongthom	ស្រុកសន្ទុក
kampongthom	ស្រុកស្ទោង
kampongthom	ស្រុកតាំងគោក
stungtraeng	ស្រុកសេសាន
stungtraeng	ស្រុកសៀមបូក
stungtraeng	ស្រុកសៀមប៉ាង
stungtraeng	ស្រុកស្ទឹងត្រែង
stungtraeng	ស្រុកថាឡាបរិវ៉ាត់
stungtraeng	ស្រុកបុរីអូរស្វាយសែនជ័យ
preyveng	ស្រុកបាភ្នំ
preyveng	ស្រុកកំចាយមារ
preyveng	ស្រុកកំពង់ត្របែក
preyveng	ស្រុកកញ្ជ្រៀច
preyveng	ស្រុកមេសាង
preyveng	ស្រុកពាមជរ
preyveng	ស្រុកពាមរក៍
preyveng	ស្រុកពារាំង
preyveng	ស្រុកព្រះស្ដេច
preyveng	ក្រុងព្រៃវែង
preyveng	ស្រុកពោធិ៍រៀង
preyveng	ស្រុកស៊ីធរកណ្ដាល
preyveng	ស្រុកស្វាយអន្ទរ
ordomeanchey	ស្រុកអន្លង់វែង
ordomeanchey	ស្រុកបន្ទាយអំពិល
ordomeanchey	ស្រុកចុងកាល់
ordomeanchey	ក្រុងសំរោង
ordomeanchey	ស្រុកត្រពាំងប្រាសាទ
tbongkhmum	ស្រុកតំបែរ
tbongkhmum	ស្រុកក្រូចឆ្មារ
tbongkhmum	ស្រុកមេមត់
tbongkhmum	ស្រុកអូររាំងឪ
tbongkhmum	ស្រុកឃុំ
tbongkhmum	ក្រុងសួង
tbongkhmum	ស្រុកត្បូងឃ្មុំ
svayrieng	ស្រុកចន្ទ្រា
svayrieng	ស្រុកកំពង់រោទិ៍
svayrieng	ស្រុករំដួល
svayrieng	ស្រុករមាសហែក
svayrieng	ស្រុកស្វាយជ្រំ
svayrieng	ក្រុងស្វាយរៀង
svayrieng	ស្រុកស្វាយទាប
svayrieng	ក្រុងបាវិត
battambang	ស្រុកបាណន់
battambang	ស្រុកថ្មគោល
battambang	ក្រុងបាត់ដំបង
battambang	ស្រុកបវេល
battambang	ស្រុកឯកភ្នំ
battambang	ស្រុកមោងឫស្សី
battambang	ស្រុករតនមណ្ឌល
battambang	ស្រុកសង្កែ
battambang	ស្រុកសំឡូត
battambang	ស្រុកសំពៅលូន
battambang	ស្រុកភ្នំព្រឹក
battambang	ស្រុកគាស់ក្រឡ
battambang	ស្រុករុក្ខគិរី
kampongcham	ស្រុកបាធាយ
kampongcham	ស្រុកចំការលើ
kampongcham	ស្រុកជើងព្រៃ
kampongcham	ក្រុងកំពង់ចាម
kampongcham	ស្រុកកំពង់សៀម
kampongcham	ស្រុកកងមាស
kampongcham	ស្រុកកោះសូទិន
kampongcham	ស្រុកព្រៃឈរ
kampongcham	ស្រុកស្រីសន្ធរ
kampongcham	ស្រុកស្ទឹងត្រង់
pursat	ស្រុកបាកាន
pursat	ស្រុកកណ្ដៀង
pursat	ស្រុកក្រគរ
pursat	ស្រុកភ្នំក្រវ៉ាញ
pursat	ក្រុងពោធិ៍សាត់
pursat	ស្រុកវាលវែង
pursat	ស្រុកតាលោសែនជ័យ
